Authors,Year,Paper,Country,MDS,Data Source Primary,Data Source Secondary,Algorithm,Task,Cross Validation,Performance Metric,Sample Size,Dataset,Goal,Abstract,Person,Notes,Wearable Location
Liu et al.,2019,Vision-Based Method for Automatic Quantification of Parkinsonian Bradykinesia,China,Bradykinesia,,"Wearable, Triaxial Accelerometer",SVM,Gait analysis,10-fold,"Accuracy, Sensitivity, Specificity",12 PD,Own Recruitment,"Develop a method for detecting motor states and dyskinesia in PD patients using a single, unobtrusive movement sensor. By analyzing data from a waist-worn accelerometer, the researchers aimed to provide a tool that could monitor motor symptoms continuously, aiding in the management and treatment of Parkinson's disease.","Parkinson's Disease (PD) is a neurodegenerative disease that alters the patients' motor performance. Patients suffer many motor symptoms: bradykinesia, dyskinesia and freezing of gait, among others. The assessment of these symptoms is usually performed by means of clinical scales, which are subjective and require the presence of a specialist. This paper presents a method to detect motor fluctuations and dyskinesia in PD patients by means of a single waist-worn triaxial accelerometer. The method is based on the analysis of the spectral power of the acceleration signals. The method was validated in 12 PD patients, obtaining a sensitivity of 89.2% and a specificity of 89.7% in the detection of dyskinesia.",IC,,
Kleanthous et al.,2020,A New Machine Learning Based Approach to Predict Freezing of Gait,United Kingdom,FoG,,Accelerometer,"SVM (RBF),  RF, XGB, GB, MLP",Walking,"10-fold,","Sensitivity, Specificity",10 FoG,Daphnet,Prediction: Freezing of Gait using time/frequency domain features,"Freezing of Gait (FoG) is a motor symptom of Parkinson's disease (PD) that frequently occurs in the long-
term sufferers of the disease. FoG may result to nursing home admission as it can lead to falls, and
therefore, it impacts negatively on the quality of life. The focus of this study is the systematic evalua-
tion of machine learning techniques in conjunction with varying size time windows and time/frequency
domain feature sets in predicting a FoG event before its onset. In the experiments, the Daphnet FoG
dataset is used to benchmark performance. This consists of accelerometer signals obtained from sensors
mounted on the ankle, thigh and trunk of the PD patients. The dataset is annotated with instances of
normal activity events, and FoG events. To predict the onset of FoG, the dataset is augmented with an
additional class, termed �transition�, which relates to a manually de?ned period prior to the occurrence of
a FoG episode. In this research, ?ve machine learning models are used, namely, Random Forest, Extreme
Gradient Boosting, Gradient Boosting, Support Vector Machines using Radial Basis Functions, and Neural
Networks. Support Vector Machines with Radial Basis kernels provided the best performance achieving
sensitivity values of 72.34%, 91.49%, 75.00%, and speci?city values of 87.36%, 88.51% and 93.62%, for the
FoG, transition and normal activity classes, respectively.",NC,,
Diaz et al.,2019,Dynamically enhanced static handwriting representation for Parkinson�s disease detection,Spain,PD ,,Handwriting,"SVM Lin., SVM RFB, RF, ET, ADA, CNN","Drawing, Writing",10-fold,"Accuracy, AUC, Sensitivity, Specificity","37 PD, 38 Control",PaHaW,Detection of Parkinson�s disease using dynamically enhanced static handwriting analysis,"Computer aided diagnosis systems can provide non-invasive, low-cost tools to support clinicians. These systems have the potential to assist the diagnosis and monitoring of neurodegenerative disorders, in par- ticular Parkinson�s disease (PD). Handwriting plays a special role in the context of PD assessment. In this paper, the discriminating power of �dynamically enhanced�static images of handwriting is investigated. The enhanced images are synthetically generated by exploiting simultaneously the static and dynamic properties of handwriting. Specifically, we propose a static representation that embeds dynamic infor- mation based on: ( i ) drawing the points of the samples, instead of linking them, so as to retain tem- poral/velocity information; and ( ii ) adding pen-ups for the same purpose. To evaluate the effectiveness of the new handwriting representation, a fair comparison between this approach and state-of-the-art methods based on static and dynamic handwriting is conducted on the same dataset, i.e. PaHaW. The classification workflow employs transfer learning to extract meaningful features from multiple represen- tations of the input data. An ensemble of different classifiers is used to achieve the final predictions. Dynamically enhanced static handwriting is able to outperform the results obtained by using static and dynamic handwriting separately.",NC,,
Buongiorno et al.,2019,"A low-cost vision system based on the
analysis of motor features for recognition
and severity rating of Parkinson�s Disease",Italy,PD ,,"Kinect, Video","SVM, ANN","Finger Tapping, Foot Tapping",5-fold,"Accuracy, Sensitivity, Specificity","16 PD, 14 Control",Own Recruitment,etection and severity rating of Parkinson�s Disease using a low-cost vision-based system,"Background: Assessment and rating of Parkinson�s Disease (PD) are commonly based on the medical observation
of several clinical manifestations, including the analysis of motor activities. In particular, medical specialists refer to the
MDS-UPDRS (Movement Disorder Society � sponsored revision of Unified Parkinson�s Disease Rating Scale) that is the
most widely used clinical scale for PD rating. However, clinical scales rely on the observation of some subtle motor
phenomena that are either difficult to capture with human eyes or could be misclassified. This limitation motivated
several researchers to develop intelligent systems based on machine learning algorithms able to automatically
recognize the PD. Nevertheless, most of the previous studies investigated the classification between healthy subjects
and PD patients without considering the automatic rating of different levels of severity.
Methods: In this context, we implemented a simple and low-cost clinical tool that can extract postural and kinematic
features with the Microsoft Kinect v2 sensor in order to classify and rate PD. Thirty participants were enrolled for the
purpose of the present study: sixteen PD patients rated according toMDS-UPDRS and fourteen healthy paired subjects.
In order to investigate the motor abilities of the upper and lower body, we acquired and analyzed three main motor
tasks: (1) gait, (2) finger tapping, and (3) foot tapping. After preliminary feature selection, different classifiers based on
Support Vector Machine (SVM) and Artificial Neural Networks (ANN) were trained and evaluated for the best solution.
Results: Concerning the gait analysis, results showed that the ANN classifier performed the best by reaching 89.4% of
accuracy with only nine features in diagnosis PD and 95.0% of accuracy with only six features in rating PD severity.
Regarding the finger and foot tapping analysis, results showed that an SVM using the extracted features was able to
classify healthy subjects versus PD patients with great performances by reaching 87.1% of accuracy. The results of the
classification between mild and moderate PD patients indicated that the foot tapping features were the most
representative ones to discriminate (81.0% of accuracy).
Conclusions: The results of this study have shown how a low-cost vision-based system can automatically detect
subtle phenomena featuring the PD. Our findings suggest that the proposed tool can support medical specialists in
the assessment and rating of PD patients in a real clinical scenario.",NC,,
Trabassi et al.,2022,Machine Learning Approach to Support the Detection of Parkinson's Disease in IMU-Based Gait Analysis,Italy,PD,,"Wearable, Belt, IMU, Traxial Accelerometer, Triaxial Magnetometer, Triaxial Gyroscope","SVM, ANN, DT, RF, KNN",Gait analysis using IMUs to detect movement abnormalities in patients with Parkinson's Disease,10-FOLD,"Accuracy, F1-Score, Precision, Recall","81 PD, 80 Control","Collected from subjects at �Sapienza� University of Rome, including spatiotemporal, pelvic kinematics, and trunk acceleration-derived gait parameters",To identify the best machine learning algorithm for classifying gait abnormalities in people with Parkinson's Disease using a minimum set of IMU-derived gait features?,"The aim of this study was to determine which supervised machine learning (ML) algorithm can most accurately classify people with Parkinson's disease (pwPD) from speed-matched healthy subjects (HS) based on a selected minimum set of IMU-derived gait features. Twenty-two gait features were extrapolated from the trunk acceleration patterns of 81 pwPD and 80 HS, including spatiotemporal, pelvic kinematics, and acceleration-derived gait stability indexes. After a three-level feature selection procedure, seven gait features were considered for implementing five ML algorithms: support vector machine (SVM), artificial neural network, decision trees (DT), random forest (RF), and K-nearest neighbors. Accuracy, precision, recall, and F1 score were calculated. SVM, DT, and RF showed the best classification performances, with prediction accuracy higher than 80% on the test set. The conceptual model of approaching ML that we proposed could reduce the risk of overrepresenting multicollinear gait features in the model, reducing the risk of overfitting in the test performances while fostering the explainability of the results.",IC,,Hip
Rodriguez-Martin,2017,A Waist-Worn Inertial Measurement Unit for Long-Term Monitoring of Parkinson�s Disease Patients,Spain,FoG,,"Wearable, IMU, Accelerometer, Magnetometer, Barometer","SVM, DT","Walking, Turns, Passing Doors, Sitting Down",LOPO,"Sensitivity, Specificity",12 FoG,Own Recruitment,Detection of Freezing of Gait (FoG) and bradykinetic gait in Parkinson�s Disease patients using a waist-worn IMU,"Inertialmeasurement units (IMUs) are devices used, among other fields, in health applications,
since they are light, small and effective. More concretely, IMUs have been demonstrated to be useful in
the monitoring of motor symptoms of Parkinson�s disease (PD). In this sense, most of previous works
have attempted to assess PD symptoms in controlled environments or short tests. This paper presents
the design of an IMU, called 9  3, that aims to assess PD symptoms, enabling the possibility to perform
a map of patients� symptoms at their homes during long periods. The device is able to acquire and store
raw inertial data for artificial intelligence algorithmic training purposes. Furthermore, the presented
IMU enables the real-time execution of the developed and embedded learning models. Results show
the great flexibility of the 9  3, storing inertial information and algorithm outputs, sending messages
to external devices and being able to detect freezing of gait and bradykinetic gait. Results obtained
in 12 patients exhibit a sensitivity and specificity over 80%. Additionally, the system enables working
23 days (at waking hours) with a 1200 mAh battery and a sampling rate of 50 Hz, opening up the
possibility to be used for other applications like wellbeing and sports.",NC,,Waist
"Guney, Boluk",2024,Daphnet Freezing Recognition with Gait Data by Using Machine Learning Algorithms,Turkey,FoG,,"Wearable, Acceleration Sensors","SVM, DT, Ensemble",Walking,NA,"Sensitivity, Specificity",10 FoG,Own Recruitment,Detection: Freezing of gait using gait acceleration data,"Abstract-The aim of this study was to test the success of the data
set obtained by a wearable health assistant developed for the
symptom of freezing (FOG) in gait of Parkinson's patients and to
increase the success of the system. The system was tested with
different machine learning methods to measure the success of the
wearable health assistant system. For all patients (ten patients), the
highest success value was obtained and the mean sensitivity and
specificity values of the system were calculated and compared with
the results obtained in the literature review. In the literature, mean
sensitivity and specificity were 73.1% and 81.6%, respectively; In this
study, mean sensitivity and specificity were 91.9% and 71.14%,
respectively. In order to better analyze the success of the system, two
patients with successful and unsuccessful results were selected for
the data set in line with the results obtained in the literature review.
The success of the system was tested by using different machine
learning methods on the data sets of two patients. Finally, the
successes obtained by feature extraction methods were tried to be
increased. Among the different machine learning methods on the
data sets used for patient 8 and patient 3, the most successful method
was obtained by combining the models (ensemble). The highest
achievement value obtained by attribute extraction methods was
obtained when PCA was applied. However, the success value
obtained with raw data could not be increased. All results are
tabulated and presented.",NC,,"Ankle, Thigh, Trunk"
Tuncer et al.,2024,Determination of Ataxia with EfficientNet Models in Person with Early MS using Plantar Pressure Distribution Signals,Turkey,Ataxia (Multiple Sclerosis),Gait,Plantar pressure,"SVM, KNN, ANN, CNN (EfficientNet)",Walking on a pressure platform to capture gait patterns,5-Fold,"Accuracy, F1-Score, Sensitivity, Specificity","43 Ataxia, 62 Control",Own Recruitment,Detection of Ataxia in PwMS based on plantar pressure distribution data,"Multiple Sclerosis (MS) is a central nervous system disease that causes ataxia and balance disorders. In ataxia, the first symptom is usually seen as gait disturbance. In gait ataxia, symptoms can be clinically defined by shortened stride length and irregular strides. Evaluation of gait disturbance in clinical cases is important for the detection of the first stage of ataxia. With the increasing amount of data, high-performance models can be produced, especially in the field of healthcare, with computer machine learning, deep learning and artificial intelligence methods. This study aimed to identify ataxia in individuals with Multiple Sclerosis (MS) by analysing images that encompass plantar pressure distribution signals. A total of 105 images, each containing plantar pressure distribution signals, were utilized to extract features through pre-trained EfficientNet architectures. Then the feature vectors obtained were classified by SVM, k-NN, and ANN methods. As a result of this study, the best classification performance was obtained with SVM classifier with 88.09 % Acc, 80.55 % Sen, 93.75 % Spe and 85.29 % F1 Score. The results show that the study will help the clinician in the detection of PwMS ataxia and will be a pioneer for future studies.",IC,,
Aich et al.,2018,A Validation Study of Freezing of Gait (FoG) Detection and Machine-Learning-Based FoG Prediction Using Estimated Gait Characteristics with a Wearable Acceleromete,South Korea,FoG,,"Wearable, Accelerometer, Triaxial Accelerometer","SVM, KNN, DT, NB",Predicting FOG events,70/30,"Accuracy, Sensitivity, Specificity","36 FoG, 15 Control",Own Recruitment,Predict: FOG episodes using gait parameters from wearable accelerometer and machine learning techniques,"One of the most common symptoms observed among most of the Parkinson's disease
patients that affects movement pattern and is also related to the risk of fall, is usually termed as
�freezing of gait (FoG)�. To allow systematic assessment of FoG, objective quanti?cation of gait
parameters and automatic detection of FoG are needed. This will help in personalizing the treatment.
In this paper, the objectives of the study are (1) quanti?cation of gait parameters in an objective
manner by using the data collected from wearable accelerometers; (2) comparison of ?ve estimated
gait parameters from the proposed algorithm with their counterparts obtained from the 3D motion
capture system in terms of mean error rate and Pearson�s correlation coef?cient (PCC); (3) automatic
discrimination of FoG patients from no FoG patients using machine learning techniques. It was
found that the ?ve gait parameters have a high level of agreement with PCC ranging from 0.961
to 0.984. The mean error rate between the estimated gait parameters from accelerometer-based
approach and 3D motion capture system was found to be less than 10%. The performances of the
classi?ers are compared on the basis of accuracy. The best result was accomplished with the SVM
classi?er with an accuracy of approximately 88%. The proposed approach shows enough evidence
that makes it applicable in a real-life scenario where the wearable accelerometer-based system would
be recommended to assess and monitor the FoG.",NC,,Knees
Loaiza Duque et al.,2020,Angular Velocity Analysis Boosted by Machine Learning for Helping in the Differential Diagnosis of Parkinson's Disease and Essential Tremor,Columbia,"ET, PD",,"Wearable, Smartphone, Gyroscope, Triaxial Accelerometer","SVM, KNN, LogR, DT, NB, Ensemble",Rest and posture positions during tremor assessments,Data testing/training divisions,"Accuracy, Sensitivity, Specificity","19 PD, 20 ET, 12 Control",Movement Disorders Unit of Hospital Clinic of Barcelona,To develop machine learning models using smartphone angular velocity data to aid in the differential diagnosis between Parkinson's Disease and Essential Tremor?,"Recent research has shown that smartphones/smartwatches have a high potential to help physicians to identify and differentiate between different movement disorders. This work aims to develop Machine Learning models to improve the differential diagnosis between patients with Parkinson's Disease and Essential Tremor. For this purpose, we use a mobile phone's built-in gyroscope to record the angular velocity signals of two different arm positions during the patient's follow-up, more precisely, in rest and posture positions. To develop and to find the best classification models, diverse factors were considered, such as the frequency range, the training and testing divisions, the kinematic features, and the classification method. We performed a two-stage kinematic analysis, first to differentiate between healthy and trembling subjects and then between patients with Parkinson's Disease and Essential Tremor. The models developed reached an average accuracy of 97.2 � 3.7% (98.5% Sensitivity, 93.3% Specificity) to differentiate between Healthy and Trembling subjects and an average accuracy of 77.8 � 9.9% (75.7% Sensitivity, 80.0% Specificity) to discriminate between Parkinson's Disease and Essential Tremor patients. Therefore, we conclude, that the angular velocity signal can be used to develop Machine Learning models for the differential diagnosis of Parkinson's disease and Essential Tremor.",IC,,"Dorsum, Hand"
Sama et al,2017,Estimating Bradykinesia Severity in Parkinson's Disease by Analyzing Gait Through a Waist-Worn Sensor,Spain,Bradykinesia,,"Wearable, ISWD, EMTS","SVM, kNN, RF","Finger tapping, tremor measurement",LOPOCV,"Accuracy, Sensitivity, Specificity","45 PD, 30 Control",Own Recruitment,Investigate the effectiveness of ISWDs in providing objective and standardized quantifications of Parkinsonian motor symptoms. The researchers aimed to address the inconsistencies in clinical assessments due to varying neurologist experience by validating the ISWD's performance against a high-precision motion tracking system.,"Neurologists judge the severity of Parkinsonian motor symptoms according to clinical scales, and their judgments exist inconsistent because of differences in clinical experience. Correspondingly, inertial sensing-based wearable devices (ISWDs) produce objective and standardized quantifications. However, ISWDs indirectly quantify symptoms by parametric modeling of angular velocities and linear accelerations and trained by the judgments of several neurologists through supervised learning algorithms. Hence, the ISWD outputs are biased along with the scores provided by neurologists. To investigate the effectiveness ISWDs for Parkinsonian symptoms quantification, technical verification and clinical validation of both tremor and bradykinesia quantification methods were carried out. A total of 45 Parkinson's disease patients and 30 healthy controls performed the tremor and finger-tapping tasks, which were tracked simultaneously by an ISWD and a 6-axis high-precision electromagnetic tracking system (EMTS). The Unified Parkinson's Disease Rating Scale (UPDRS) prescribed parameters obtained from the EMTS, which directly provides linear and rotational displacements, were compared with the scores provided by both the ISWD and seven neurologists. EMTS-based parameters were regarded as the ground truth and were employed to train several common machine learning (ML) algorithms, i.e., support vector machine (SVM), k-nearest neighbors (KNN), and random forest (RF) algorithms. Inconsistency among the scores provided by the neurologists was proven. Besides, the quantification performance (sensitivity, specificity, and accuracy) of the ISWD employed with ML algorithms were better than that of the neurologists. Furthermore, EMTS can be utilized to both modify the quantification algorithms of ISWDs and improve the assessment skills of young neurologists.",IC,,Waist
Coelho et al.,2022,Parkinson's disease effective biomarkers based on Hjorth features improved by machine learning,Brazil,PD,,EEG,"SVM, KNN, RF",Three-Stimulus auditory oddball task,5-fold,"Accuracy, AUC, TNR, TPR","24 PD, 24 Control",PRED+CT,Classification: Evaluate Hjorth features from EEG signals and classify PD patients.,"Parkinson's disease (PD) is the second most common neurodegenerative condition in the world and is caused by
reduced levels of dopamine in the central nervous system. The diagnosis of PD is a difficult and time-consuming
task, and there is no definitive protocol for achieving it. Therefore, several studies have been performed in order
to find reliable PD biomarkers. The analysis of characteristics of electroencephalogram (EEG) signals is one of
the techniques that have been used in the search for biomarkers. EEG signals capture the activity of neurons
through electrodes placed on the scalp and with the advancement of Artificial Intelligence (AI) techniques,
their characteristics have started to be used in machine learning (ML) algorithms for the automatic diagnosis
of brain diseases, suggesting that EEG signals are promising biomarkers that could be used for automatic
identification of individuals with PD. Thus, this work evaluates the performance of Hjorth features obtained
from electroencephalographic signals, as biomarkers for Parkinson's disease. Using the database available at
the public repository called The Patient Repository for EEG Data + Computational Tools (PRED + CT), we
analyzed EEG data from PD individuals periodically exposed to auditory stimuli. The analysis of the proposed
biomarkers showed differences between healthy and PD patients in parietal, frontal, central, and occipital
lobes. For classification the Support Vector Machine (SVM), K-Nearest Neighbors (KNN), and Random Forest
algorithms were used followed by a 5-fold cross-validation methodology. The proposed model achieved an
accuracy of 89.56% when differentiating patients with PD and healthy individuals with an SVM classifier. The
results suggest that the Hjorth features extracted from EEG signals could be used as PD biomarkers.",NC,,
Sama et al.,2018,Determining the optimal features in freezing of gait detection through a single waist accelerometer in home environments,Spain,FoG,,"Wearable, Video, Triaxial Accelerometer, Triaxial Gyroscope","SVM, KNN, RF, Logistic Regression, NB, MLP, SVM",NA,NA,"Geometric Mean, Sensitivity, Specificity",15 PD,NA,detection of Freezing of Gait (FoG) in Parkinson�s disease patients using a single waist-worn accelerometer,"Freezing of gait (FoG) is one of the most disturbing and incapacitating symptoms in Parkinson�s disease. It is defined as a sudden block in effective stepping, provoking anxiety, stress and falls. FoG is usually evaluated by means of different questionnaires; however, this method has shown to be not reliable, since it is subjective due to its dependence on patients� and caregivers� judgment. Several authors have an- alyzed the usage of MEMS inertial systems to detect FoG with the aim of objectively evaluating it. So far, specific methods based on accelerometer�s frequency response has been employed in many works; nonetheless, since they have been developed and tested in laboratory conditions, their performance is commonly poor when being used at patients� home. Therefore, this work proposes a new set of features that aims to detect FoG in real environments by using accelerometers. This set of features is compared with three previously reported approaches to detect FoG. The different feature sets are trained by means of several machine learning classifiers; furthermore, different window sizes are also evaluated. In addi- tion, a greedy subset selection process is performed to reduce the computational load of the method and to enable a real-time implementation. Results show that the proposed method detects FoG at patients� home with 91.7% and 87.4% of sensitivity and specificity, respectively, enhancing the results of former methods between a 5% and 11% and providing a more balanced rate of true positives and true negatives.",NC,,Waist
Abdulhay et al,2018,Gait and Tremor Investigation Using Machine Learning Techniques for the Diagnosis of Parkinson's Disease,India,PD,,VGRF  ,"SVM, MG, Regression models",Walking at a self-selected pace (gait analysis) and tremor analysis,NA,"Accuracy, AUC, TPR","93 PD, 73 Controls",PhysioNet  ,"Develop machine learning models to analyze gait and tremor data for the diagnosis of Parkinson's disease, enhancing early detection and monitoring of motor symptoms.","Parkinson's disease (PD) is a chronic and progressive movement disorder affecting patients in large numbers throughout the world. As PD progresses, the affected person is unable to control movement normally. Individuals affected by Parkinson's disease exhibit notable symptoms like gait impairments and tremor occurrences during different stages of the disease. In this paper a novel approach has been proposed to diagnose PD using the gait analysis, that consists of the gait cycle, which can be broken down into various phases and periods to determine normative and abnormal gait. Initially, the raw force data obtained from physionet database was filtered using a Chebyshev type II high pass filter with a cut-off frequency 0.8 Hz to remove noises arising from the changes in orientation of the subject's body and other factors during measurement. The filtered data was used for extracting various gait features using the peak detection and pulse duration measuring techniques. The threshold values of the gait detection algorithm were tuned to individual subjects. From the peak detection algorithm, various kinetic features including the heel and toe forces, and their normalized values were obtained. The pulse duration algorithm was developed to extract different temporal features including the stance and swing phases, and stride time. Tremor is a common symptom in PD. Tremor is an involuntary movement of body parts. At first the tremor may appear in a specific body part like an arm, leg or one side of the body and later it may spread to both sides. This rest tremor is a cardinal sign of PD. An average accuracy of 92.7% is achieved for the diagnosis of PD from gait analysis and tremor analysis is used for knowing the severity of PD.",IC,,
Roy et al.,2024, A Comparative Analysis of Advanced Machine Learning Algorithms to diagnose Parkinson's Disease ,India,PD,,"Speech, Neuroimaging, Clinical Data","SVM, MLP",NA,NA,"Accuracy, AUC, Sensitivity, Specificity",NA,NA,"Review: Review, Compare & Contrast ML algorithms with a focus on SVM & MLP","Parkinson's disease (PD) is a prevalent and debilitating neurological disorder affecting millions worldwide, necessitating early
and precise diagnosis for effective management and therapy. Recent breakthroughs in artificial intelligence (AI) applications
within the medical field have showcased promising potential in disease identification and diagnosis. This study presents a
comprehensive analysis of cutting-edge AI-based methods for the identification of Parkinson's disease. This paper encompasses
extensive testing on substantial datasets containing both PD patients and healthy individuals, aiming to assess the efficacy of AI
models. Performance metrics such as sensitivity, specificity, accuracy, and the area under the receiver operating characteristic
curve (AUC-ROC) are employed to evaluate model performance rigorously. This paper is not only reviewing the state-of-the-art
AI techniques for Parkinson's disease identification but also introduces novel contributions in the field. Our results demonstrate
the potential of AI in achieving early and accurate PD diagnosis, offering hope for improved patient care and treatment outcomes.
Furthermore, this study paves the way for future research and development in the domain of AI-driven healthcare, with the
ultimate goal of enhancing the quality of life for individuals suffering from Parkinson's disease and similar neurodegenerative
conditions.",NC,,
Teshuva et al.,2019,Using Wearables to Assess Bradykinesia and Rigidity in Patients with Parkinson's Disease Narrative Review of the Literature,Israel,Bradykinesia,,Video,"SVM, NB, LogR",Finger Tapping,LOPOCV,Accuracy,70 Videos,Own Recruitment,"Develop a low-cost, contactless system using smartphone videos to automatically determine the presence and severity of bradykinesia. By leveraging computer vision techniques and supervised machine learning models, the researchers aimed to provide an objective assessment tool that could complement traditional clinical evaluations and potentially facilitate remote monitoring of PD symptoms.","Slowness of movement, known as bradykinesia, is an important early symptom of Parkinson's disease. This symptom is currently assessed subjectively by clinical experts. However, expert assessment has been shown to be subject to inter-rater variability. We propose a low-cost, contactless system using smarthphone videos to automatically determine the presence of bradykinesia. Using 70 videos recorded in a pilot study, we predicted the presence of bradykinesia with an estimated test accuracy of 0.79 and the presence of Parkinson's disease with estimated test accuracy 0.63. Even on a small set of pilot data this accuracy is comparable to that recorded by blinded human experts.",IC,,
Escamilla-Luna et al.,2023,Machine Learning Algorithms for Classification of Patients with Parkinson's Disease and Hereditary Ataxias,Mexico,"Ataxia, PD",Gait,"Wearable, Smartphone, Triaxial Accelerometer","SVM, NB, LogR, KNN, DT, RF",Gait analysis,10-Fold,"Accuracy, AUC, F1-Score, Precision, Sensitivity, Specificity","53 PD, 14 Ataxia",Own Recruitment,Classification: Ataxia vs PD,"Neurodegenerative diseases are a group of neurological conditions characterized by the loss or destruction of neurons in the central nervous system, resulting in severe impairments and death. Researchers commonly used a two-group classification (Patients with a Neurodegenerative disease vs. healthy subjects of control). Thus, the principal purpose of this article is to distinguish between Parkinson's patients and subjects with Hereditary Ataxias using machine learning techniques. We conducted experiments using a real dataset comprising Gait characteristics derived from the inertial motion sensors of a smartphone (iPhone 5S). This investigation had 67 participants, 53 of who had Parkinson's disease and 14 of whom had Hereditary Ataxias. Methods of feature selection were applied to reduce dimensionality. In addition, five classification algorithms were constructed and assessed based on their accuracy, precision, sensitivity, and specificity. The Support Vector Machine algorithm achieved an accuracy of 92.7%, a precision of 91.1%, a sensitivity of 96.2%, and a specificity of 89.1%. These results show that the suggested technique might inspire new research issues and have a direct therapeutic impact.",IC,,Ankle
"Dennis, Strafella",2024,The role of AI and machine learning in the diagnosis of Parkinson's disease and atypical parkinsonisms,Canada,PD,,"Biofluids, Neuroimaging, Clinical Data","SVM, NN, DL, DT, RF, GBDT, ensemble",Various,"5-fold, LOOCV, nested, Various","Accuracy, AUC, Sensitivity","2309 PD, 752 Control",PubMed,Review: Determine extent which AI and ML techniques can be applied to biomarkers to boost PD diagnosis.,"Parkinson's disease is a neurodegenerative movement disorder associated with motor and non-motor symptoms
causing severe disability as the disease progresses. The development of biomarkers for Parkinson's disease to
diagnose patients earlier and predict disease progression is imperative. As artificial intelligence and machine
learning techniques efficiently process data and can handle multiple data types, we reviewed the literature to
determine the extent to which these techniques have been applied to biomarkers for Parkinson's disease and
movement disorders. We determined that the most applicable machine learning techniques are support vector
machines and neural networks, depending on the size and type of the data being analyzed. Additionally, more
complex machine learning techniques showed increased accuracy when compared to less complex techniques,
especially when multiple machine learning models were combined. We can conclude that artificial intelligence
and machine learning techniques may have the capacity to significantly boost diagnostic capacity in movement
disorders and Parkinson's disease.",NC,,
Mei et al.,2021,Machine Learning for the Diagnosis of Parkinson's Disease: A Review of Literature,Canada,PD,,"Clinical Data, Speech, MRI, SPECT, PET, CSF","SVM, NN, DT, EL, KNN, NB","Diagnosis, differential diagnosis, and sub-typing of Parkinson's Disease","10-fold, LOPOCV","Accuracy, AUC, F1-Score, Sensitivity, Specificity",184 Patient,,"UCI Machine Learning Repository, PPMI, PhysioNet","Diagnosis of Parkinson's disease (PD) is commonly based on medical observations and assessment of clinical signs, including the characterization of a variety of motor symptoms. However, traditional diagnostic approaches may suffer from subjectivity as they rely on the evaluation of movements that are sometimes subtle to human eyes and therefore difficult to classify, leading to possible misclassification. In the meantime, early non-motor symptoms of PD may be mild and can be caused by many other conditions. Therefore, these symptoms are often overlooked, making diagnosis of PD at an early stage challenging. To address these difficulties and to refine the diagnosis and assessment procedures of PD, machine learning methods have been implemented for the classification of PD and healthy controls or patients with similar clinical presentations (e.g., movement disorders or other Parkinsonian syndromes). To provide a comprehensive overview of data modalities and machine learning methods that have been used in the diagnosis and differential diagnosis of PD, in this study, we conducted a literature review of studies published until February 14, 2020, using the PubMed and IEEE Xplore databases. A total of 209 studies were included, extracted for relevant information and presented in this review, with an investigation of their aims, sources of data, types of data, machine learning methods and associated outcomes. These studies demonstrate a high potential for adaptation of machine learning methods and novel biomarkers in clinical decision making, leading to increasingly systematic, informed diagnosis of PD.",IC,average sample size in studies reviewed is 184.6,
Oung et al.,2018,"Objective Evaluation of Freezing of Gait in Patients with Parkinson's Disease through Machine Learning Approaches	Malaysia, ",Malaysia,FoG,,"Wearable, Triaxial Accelerometer","SVM, PNN","Walking, turning","10-fold, LOOCV","Accuracy, AUC, Sensitivity, Specificity",10 FoG,DAPHNet ,Detection: Freezing of gait in PD patients with wearable systems,"Freezing of gait (FoG) is a general and disabling
indicator during the severe level of Parkinson's disease (PD)
that affects millions of PD patients worldwide. Under episodic
condition that cannot be predicted, FoG influences gait in term
of delay and sudden inability to perform walking. FoG does not
respond well to treatment through medication; therefore
effective non-medication assistance is necessary. A wearable
assistance system for FoG detection has been developed to
assist patients in order to proceed walking. However, current
objective evaluations for automated FoG detection are not
sufficient as only the standard time-based and frequency-based
features were extracted and there are still spaces for
improvement in term of FoG detection performance. In this
paper, we first attempt to adapt and extend current robust
feature extraction and inference techniques in order to include
additional features compared to the currently existing features.
Then we go a step further by applying feature selection with
the purpose of obtaining the maximum recognition results
using the current available DAPHNet dataset. This dataset was
collected using a wearable health assistive system that consists
of 3-axes accelerometer to measure patient�s movement. Ten
PD patients were chosen to perform several walking tasks
under laboratory environment. The overall performance was
evaluated via subject-dependent and subject independent using
the proposed feature extraction, feature selection and
classification algorithms. The outcomes showed that the
suggested machine learning methods had the ability in
detecting FoG with maximum mean accuracy, sensitivity,
specificity and area under curve (AUC) of approximately 99%.",NC,,Back
